Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
n2;knapsackmf.cpp;15;1.1526298522949219;1-3;Random bit-flip;1
values;knapsackmf.cpp;16;1.7629058361053467;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.613678216934204;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.015071153640747;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.6916863918304443;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.519423007965088;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.0784714221954346;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.0385544300079346;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.1190826892852783;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.040372848510742;1-3;Random bit-flip;1
w;knapsackmf.cpp;42;1.8767588138580322;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.1796700954437256;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;3.0202863216400146;1-3;Random bit-flip;1
weights2;knapsackmf.cpp;19;1.4517958164215088;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.482391357421875;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.534372568130493;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.859292984008789;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.4873874187469482;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.4864611625671387;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.600877046585083;1-3;Random bit-flip;1
values2;knapsackmf.cpp;17;2.184922933578491;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.803236722946167;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.5600409507751465;1-3;Random bit-flip;1
weights2;knapsackmf.cpp;19;2.996567726135254;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.722214698791504;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.1569409370422363;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.258373975753784;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.56939959526062;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.574733018875122;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.432239294052124;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;1.733121395111084;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.0408403873443604;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;1.4136760234832764;1-3;Random bit-flip;1
weights;knapsackmf.cpp;18;1.6965184211730957;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.9721651077270508;1-3;Random bit-flip;1
values2;knapsackmf.cpp;17;2.23384428024292;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.7762856483459473;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.360581398010254;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.3902614116668701;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;1.5806803703308105;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;1.8258588314056396;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.9554970264434814;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.53806209564209;1-3;Random bit-flip;1
values;knapsackmf.cpp;16;1.3165769577026367;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.917849540710449;1-3;Random bit-flip;1
values2;knapsackmf.cpp;17;1.7100646495819092;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;1.6695365905761719;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.2689874172210693;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;1.6529479026794434;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;1.757577657699585;1-3;LSB bit-flip;1
n2;knapsackmf.cpp;15;2.41192626953125;1-3;LSB bit-flip;1
W;knapsackmf.cpp;12;2.286269426345825;1-3;LSB bit-flip;1
i2;knapsackmf.cpp;69;1.544743537902832;1-3;LSB bit-flip;1
n2;knapsackmf.cpp;15;1.4797959327697754;1-3;LSB bit-flip;1
