Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
W;knapsacksa.cpp;13;2.1573121547698975;0-9;LSB bit-flip;1
best2;knapsacksa.cpp;82;3.8207452297210693;0-9;LSB bit-flip;1
wt;knapsacksa.cpp;16;2.565035820007324;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;1.5968167781829834;0-9;LSB bit-flip;1
i;knapsacksa.cpp;57;3.292412519454956;0-9;LSB bit-flip;1
val;knapsacksa.cpp;14;3.454601526260376;0-9;LSB bit-flip;1
best2;knapsacksa.cpp;82;4.588249921798706;0-9;LSB bit-flip;1
peso;knapsacksa.cpp;56;3.2528388500213623;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;1.6209595203399658;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;3.4485490322113037;0-9;LSB bit-flip;1
peso2;knapsacksa.cpp;56;2.757385730743408;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;5.9159698486328125;0-9;LSB bit-flip;1
best;knapsacksa.cpp;81;2.370746374130249;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;3.509791374206543;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;4.0181565284729;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;3.6555542945861816;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;5.632511138916016;0-9;LSB bit-flip;1
n;knapsacksa.cpp;13;1.3338990211486816;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;1.56449556350708;0-9;LSB bit-flip;1
best;knapsacksa.cpp;81;0.7570104598999023;0-9;LSB bit-flip;1
best2;knapsacksa.cpp;82;2.657480001449585;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;2.1999664306640625;0-9;LSB bit-flip;1
valor2;knapsacksa.cpp;56;3.518228769302368;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;1.9057610034942627;0-9;LSB bit-flip;1
val;knapsacksa.cpp;14;6.824049234390259;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;5.07878303527832;0-9;LSB bit-flip;1
peso2;knapsacksa.cpp;56;3.3824589252471924;0-9;LSB bit-flip;1
wt2;knapsacksa.cpp;17;3.8416941165924072;0-9;LSB bit-flip;1
